news_type,true,fav,important,anger,anxiety,funny,informative,familiar,demrep_c,concordant,age,gender,education,income,social_conserv,economic_conserv,Y,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6
0,2,3,3,2,2,1,3,1,2,4,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
0,5,2,4,3,3,2,3,1,2,5,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
2,1,4,5,4,2,1,3,1,2,3,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
2,1,5,4,3,2,1,3,1,2,2,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
2,1,4,2,3,1,1,3,1,2,3,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
2,4,2,2,1,1,1,2,1,2,5,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
2,4,2,5,3,1,1,4,1,2,5,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
1,2,5,1,1,1,1,2,2,3,2,32.0,1.0,1.0,0.0,2,2,0,0,1,0,0,0,0
1,1,6,1,1,1,5,2,1,3,1,32.0,1.0,1.0,0.0,2,2,0,0,1,0,0,0,0
1,1,5,2,1,1,2,2,1,3,2,32.0,1.0,1.0,0.0,2,2,0,0,1,0,0,0,0
1,1,4,1,1,1,1,4,1,3,3,32.0,1.0,1.0,0.0,2,2,0,0,1,0,0,0,0
0,5,4,5,1,1,1,2,1,3,3,32.0,1.0,1.0,0.0,2,2,0,0,1,0,0,0,0
